type,type2,category,data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21
Botika,Gamot na iniinom,Gamot na iniinom,Pulbos,Tableta,Likido,Pampahid na gamot,Panloob na gamot (pampasok sa ari),Tabletang ipapasok sa puwit,Panlinis ng bibig,Pampahid na gamot,,,,,,,,,,,,,
Botika,Gamot na iniinom,Bilang ng pag-inom,Umaga,Tanghali,Gabi,Bago kumain,Habang kumakain,Pagkatapos kumain,Kapag masakit,Kapag makati,Kapag maraming discharge,,,,,,,,,,,,
Botika,Gamot na iniinom,Bilang ng pag-inom (limitasyon),Maghintay ng 4 oras,Maghintay ng 6 oras,Hanggang 2 tableta bawat araw,Hanggang 3 tableta bawat araw,Hanggang 4 tableta bawat araw,,,,,,,,,,,,,,,,
Botika,Pampahid na gamot,Saan ipapahid?,Mukha,Binti,Tiyan,Likod,Puwit,Puwerta,,,,,,,,,,,,,,,
Botika,Pampahid na gamot,Kailan ito nagsimula?,Ngayon lang,3 oras na ang nakalipas,6 oras na ang nakalipas,9 oras na ang nakalipas,Kalahating araw na ang nakalipas,Kahapon,Noong isang araw,Mas matagal pa,,,,,,,,,,,,,
Pagsusuri (Midwife),Pagsusuri (Kondisyon ng katawan),Nakakakain ka ba nang maayos?,Nakakakain ng 3 beses sa isang araw,Nakakakain ng 2 beses sa isang araw,Nakakakain ng isang beses sa isang araw,Hindi nakakakain,Nakakainom ng sapat na tubig,Nakakakain ng meryenda,Iba pa,,,,,,,,,,,,,,
Pagsusuri (Midwife),Pagsusuri (Kondisyon ng katawan),Nakakatulog ka ba nang maayos?,Oo,Minsan nagigising ako,Madalas akong nagigising,Halos hindi ako makatulog,,,,,,,,,,,,,,,,,
Pagsusuri (Midwife),Paliwanag (Gabay),Ito ang impormasyong kailangan mo. Pakibasa ang booklet.,Hypertension sa pagbubuntis(papunta sa Serye ng Suporta para kay Nanay at Sanggol)||https://rasc.jp/wp-content/uploads/tagalog04.pdf,Gestational diabetes(papunta sa Serye ng Suporta para kay Nanay at Sanggol)||https://rasc.jp/wp-content/uploads/tagalog05.pdf,Nanganganib na pagkalaglag(papunta sa Serye ng Suporta para kay Nanay at Sanggol)||https://rasc.jp/wp-content/uploads/tagalog06.pdf,Nanganganib na preterm labor(papunta sa Serye ng Suporta para kay Nanay at Sanggol)||https://rasc.jp/wp-content/uploads/tagalog06.pdf,,,,,,,,,,,,,,,,,
Pagsusuri (Midwife),Paliwanag (Plano sa panganganak),Isipin kung may nais kang gawin sa panahon ng panganganak,Plano sa panganganak(papunta sa Serye ng Suporta para kay Nanay at Sanggol)||https://rasc.jp/wp-content/uploads/tagalog09.pdf,,,,,,,,,,,,,,,,,,,,
Pagsusuri (Midwife),Paliwanag (Panganganak),Paliwanag tungkol sa panganganak. Pakibasa ang booklet.,Paghahanda ng gamit sa ospital(papunta sa Serye ng Suporta para kay Nanay at Sanggol)||https://rasc.jp/wp-content/uploads/tagalog02.pdf,Caesarean section(papunta sa Serye ng Suporta para kay Nanay at Sanggol)||https://rasc.jp/wp-content/uploads/tagalog03.pdf,Pampabilis ng labor(papunta sa Serye ng Suporta para kay Nanay at Sanggol)||https://rasc.jp/wp-content/uploads/tagalog08.pdf,,,,,,,,,,,,,,,,,,
Serye ng Suporta para kay Nanay at Sanggol,冊子リンク,I-click ang item para mabasa ang PDF.,Pabalat (Kulay)||https://rasc.jp/wp-content/uploads/tagalog00-0.pdf,Pabalat (Puti)||https://rasc.jp/wp-content/uploads/tagalog00-0W.pdf,Panimula||https://rasc.jp/wp-content/uploads/tagalog00-1.pdf,Talaan ng nilalaman||https://rasc.jp/wp-content/uploads/tagalog00-2.pdf,Mga tinatanong nsa OB-Gyne||https://rasc.jp/wp-content/uploads/tagalog01.pdf,Pag tatawag ka sa ospital||https://rasc.jp/wp-content/uploads/tagalog02.pdf,Ang panganganak sa Japan||https://rasc.jp/wp-content/uploads/tagalog03.pdf,Hypertensive Disorder of Pregnancy(HDP)||https://rasc.jp/wp-content/uploads/tagalog04.pdf,Gestational Diabetes Mellitus(GDM)||https://rasc.jp/wp-content/uploads/tagalog05.pdf,Threatened abortion/Threatened Premature Labor||https://rasc.jp/wp-content/uploads/tagalog06.pdf,Group B Streptococcus (GBS)||https://rasc.jp/wp-content/uploads/tagalog07.pdf,Labor induction||https://rasc.jp/wp-content/uploads/tagalog08.pdf,Plano ng panganganak||https://rasc.jp/wp-content/uploads/tagalog09.pdf,Ang buhay pag tapos ng panganganak||https://rasc.jp/wp-content/uploads/tagalog10.pdf,Pagbigay ng gatas||https://rasc.jp/wp-content/uploads/tagalog11.pdf,Tungkol sa sanggol||https://rasc.jp/wp-content/uploads/tagalog12.pdf,Tungkol sa Social Resources||https://rasc.jp/wp-content/uploads/tagalog13.pdf,Pagbakuna||https://rasc.jp/wp-content/uploads/tagalog14.pdf,Ang mga salitang ginagamit sa pag-anak||https://rasc.jp/wp-content/uploads/tagalog15.pdf,Mga payo mula sa nanay ng ibat-ibang bansa||https://rasc.jp/wp-content/uploads/tagalog98.pdf,Listahan ng mga tagapangasiwa||https://rasc.jp/wp-content/uploads/tagalog99.pdf
